distkm,solar_power,elevation_angle,bearing,speed_lim
0.151248,275.7492094793189,0.0,225.7641315,60.0
0.20685100000000006,391.4027350769047,0.0,225.7641315,60.0
1.13057,377.92156756544114,-0.029995369293584123,264.42304472,60.0
1.78479,390.84269444310684,0.0,264.42304472,60.0
2.9233800000000003,448.49658245062835,0.0004425607014837343,251.6496875,80.0
3.4228,333.6153665295839,0.0005900857931099105,269.30065935,80.0
3.77682,-338.8337696075441,0.0,269.30065935,80.0
5.09765,764.4946142148971,-0.00232613479512895,187.4149163,100.0
6.61055,323.92337570333484,0.009672622777481,180.4445149,100.0
8.26961,697.2990817108162,-0.0011993281291726174,180.2618664,100.0
8.815809999999997,455.29692008972165,0.0,180.2618664,100.0
9.91648,584.3968853187571,-0.0027910084706107593,228.4055169,100.0
11.5938,697.927538935661,0.015318673429514535,159.2746811,100.0
12.3894,3327.3098534240717,-0.003120353837043438,159.2744467,100.0
13.9858,624.0757304260726,0.0005952523351078382,158.7699551,100.0
15.6388,741.0402690448759,-0.0015305240438721961,159.323068,100.0
17.3112,591.9704724216467,-0.0006396740337757752,139.9836381,100.0
18.9856,695.9486648807524,-0.0007598710434289943,139.9830106,100.0
20.4609,589.0162580528256,0.000546988998521465,167.5759497,100.0
22.0345,591.4834532947541,-0.0008082520799708517,132.6772121,100.0
23.539,441.85320051956296,-0.0058680051030847,140.8959587,100.0
24.2737,659.268404624939,0.022875912366418116,101.6797599,100.0
25.1872,911.0474141378404,0.004337346331291216,119.2755429,100.0
26.4027,579.6330678181648,-0.005991083860404804,119.2748101,100.0
27.7552,768.7520695362091,-0.015618227508335426,148.9945623,100.0
57.5582,601.7000859603891,0.001446704638457167,116.92840359999998,130.0
28.861010800000003,5.8575972175585775,0.0007094115344517875,144.2312409,100.0
30.17063,733.3134010448456,0.007008935078082062,132.8776064,100.0
31.559540000000002,603.7863883018499,-0.002624807883638754,128.5794564,100.0
32.952220000000004,718.9769673743249,0.0007371496568124598,124.8157023,100.0
34.34432,2414.176207559347,-0.004001128458109636,126.9357334,100.0
35.9237,134.4011158407927,-0.003231019990327846,90.27992661,100.0
36.98063,631.3730832920073,-0.0023467752704071482,89.75988001,100.0
38.37131,735.5075113348961,-0.005969035379724988,91.03290587,110.0
39.7582,731.0165210342407,-0.0036982445806606834,89.83288335,110.0
41.1662,655.107189105034,0.0026994082373279858,81.28795337,110.0
42.6218,466.5219549717906,0.003551400987138006,98.68082243,110.0
44.1019,634.0176587390902,0.002784450948593156,101.4883316,110.0
45.6067,797.3196631717685,0.004388667291789151,99.57600025,110.0
47.113,810.7310155334469,0.007733825702057997,98.60411207,110.0
48.6187,714.4155887904167,0.003995393424351322,99.48605624,110.0
50.1161,694.0800874707702,0.0013397407237407582,96.49083494,110.0
51.6187,469.824824549675,-0.0028838929433896107,97.2540545,130.0
53.1267,723.3336237983706,-0.0006589977361688931,96.70696262,130.0
54.6268,750.1013373441699,-0.007081315324464304,100.0273805,130.0
56.135,773.2701775913239,0.009904822918653642,116.9291379,130.0
57.6417,680.2295412826536,0.001344175848039279,116.92840359999998,130.0
59.1482,843.2649313764574,-0.014012905225381345,128.4541871,130.0
60.6486,1105.925313909769,-0.0028108249888091482,140.7804939,130.0
61.9859,725.7898578929903,-0.0031006230031451584,107.093353,130.0
63.4595,661.0657512798307,0.004539498323832618,86.32643132,130.0
64.9373,762.0726889934538,0.006089869206703118,120.8780497,130.0
66.4134,821.0655036734939,-0.0016192564263827025,90.0,130.0
67.869,651.6620022678374,-0.00877166594757893,109.4879066,130.0
69.2362,744.1781345386507,0.008166973500973848,109.4866952,130.0
70.5096,680.9893504602908,0.00825433303210582,83.4130005,130.0
71.7843,751.9137491569516,-0.0005970125438030072,87.09923609999998,130.0
73.17660000000002,938.5656262521738,0.0003851590055897017,80.88363477,130.0
74.56620000000002,881.9054289054869,-0.0008411673822058213,74.28018286,130.0
75.959,609.0737250905037,0.0032613676297440102,105.6767283,130.0
77.3501,745.7291164789199,0.00933903797702247,62.13288479,130.0
78.7621,363.54210222530395,0.0008326708557170114,72.47796226,130.0
80.16929999999998,588.5040038480759,0.008898258574575687,78.79752959,130.0
81.5757,497.6323748540882,0.0037563082643721534,78.79791634,130.0
82.9873,309.91216163754484,0.007660995004962501,58.88473816,130.0
84.3917,594.23080589962,-0.01471452865355317,93.76370199,130.0
85.7286,435.72212951660094,-0.003825675838160758,93.76356629,130.0
87.07700000000001,465.41145253896707,-0.0065626597217349645,98.88606705,130.0
88.4118,517.7253715019233,-0.007303310236816537,89.10927528,130.0
89.7562,264.7609597663878,0.00649565765084419,77.94436368,130.0
91.0984,386.397897140503,-0.0017427675546259629,62.07095368,130.0
92.4398,459.8336734619139,-0.001381232392835439,62.07171837,130.0
93.7802,358.72492139387134,0.0014256620302279474,62.07248351,130.0
95.1212,402.5685304284095,0.003074448038743876,102.833304,130.0
96.4637,376.15183830642695,0.004653278562869172,114.6390642,130.0
97.8035,451.08010912513726,-0.0018488486770924584,82.95450981,130.0
99.1494,834.7081659651996,0.00822615731958076,79.07974502,130.0
100.4925,560.3898525428774,-0.006685615048355408,85.42748515,130.0
101.7551,1590.516735614777,-0.000978151834405506,99.18645088,130.0
103.0676,490.9790507116319,-0.007114349965248916,86.97877804,130.0
104.42620000000002,469.84543269419623,-0.00046304150231090324,86.03119543,130.0
105.78349999999998,737.7140985860822,-0.0018908770509410695,69.72565056,130.0
107.1422,911.2305847581626,0.000930142699299952,94.45387218,130.0
108.5048,799.2297563352578,-0.001127655018866449,99.66469425,130.0
